,variable,value
365,ABX CRO ADVANCED PHARMACEUTICAL SERVICES FORSCHUNGSGESELLSCHAFT MBH,ABX Cro Advanced Pharmaceutical Services Forschungsgesellschaft mbH
366,Abyssus Marine Services AS,Abyssus Marine Services AS
367,AC AGUAS DE COIMBRA EM,AC Aguas de Coimbra in
368,AC IMMUNE SA,AND IMMUNE SA
369,AC2T RESEARCH GMBH,AC2T RESEARCH GMBH
370,Academatch,Academatch
371,ACADEMIA DE LA HISTORIA DE CUBA,Academy of the history of Cuba
372,ACADEMIA DE STIINTE A MOLDOVEI,Academy of Sciences of Moldova
373,ACADEMIA DE STUDII ECONOMICE DIN BUCURESTI,THE ACADEMY OF ECONOMIC STUDIES IN BUCHAREST
374,ACADEMIA EUROPAEA (THE ACADEMY OF EUROPE),ACADEMIA EUROPAEA (THE ACADEMY OF EUROPE)
375,Academia Europaea Barcelona Knowledge Hub,Academia Europaea Barcelona Knowledge Hub
376,ACADEMIA NATIONALA DE INFORMATII MIHAI VITEAZUL,National Academy of Information Mihai Viteazul
377,ACADEMIA ROMANA FILIALA IASI,Romanian Academy Branch Iasi
378,ACADEMIA SINICA,ACADEMIA SINICA
379,ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,Academic Medical Center at the University of Amsterdam
380,ACADEMISCH ZIEKENHUIS GRONINGEN,Groningen Academic Hospital
381,ACADEMISCH ZIEKENHUIS LEIDEN,Leiden Academic Hospital
382,ACADEMISCH ZIEKENHUIS MAASTRICHT,Maastricht Academic Hospital
383,ACADEMY OF ATHENS,ACADEMY OF ATHENS
384,Academy of Public Administration under the President of the Republic of Belarus,Academy of Public Administration under the President of the Republic of Belarus
385,ACADEMY OF SCIENCE OF SOUTH AFRICA,ACADEMY OF SCIENCE OF SOUTH AFRICA
386,ACADEMY OF SCIENTIFIC RESEARCH AND TECHNOLOGY ASRT,ACADEMY OF SCIENTIFIC RESEARCH AND TECHNOLOGY ASRT
387,ACADEMY OF SOCIAL SCIENCES,ACADEMY OF SOCIAL SCIENCES
388,ACADEMY OF STATE ADMINISTRATION OFGRAIN,ACADEMY OF STATE ADMINISTRATION OF GRAIN
389,ACAI DEPURACION SL,Acai Depuracion SL
390,ACAPELA GROUP BABEL TECHNOLOGIES SA,Acapela group babel technologies to
391,ACAST AB,ACAST AB
392,ACBA LEASING CREDIT ORGANIZATION CLOSED JOINT STOCK COMPANY,ACBA LEASING CREDIT ORGANIZATION CLOSED JOINT STOCK COMPANY
393,ACCADEMIA DI BELLE ARTI DI BRERA,Academy of Fine Arts of Brera
394,ACCADEMIA EUROPEA DI BOLZANO,European Academy of Bolzano
395,ACCEDES. ENTORNOS Y SERVICIOS ACCESIBLES SL,ACCEDES Accessible environments and services SL
396,ACCELERA SRL,Accelera srl
397,ACCELERACE FONDEN,The Accelerace Foundation
398,ACCELERATE DIAGNOSTICS SL,ACCELERATE DIAGNOSTICS SL
399,ACCELERATED MEDICAL DIAGNOSTICS LTD,ACCELERATED MEDICAL DIAGNOSTICS LTD
400,Accelerators and Cryogenic Systems,Accelerators and Cryogenic Systems
401,ACCELERO BIOANALYTICS GMBH,ACCELERO BIOANALYTICS GMBH
402,ACCELIGENCE LTD,ACCELIGENCE LTD
403,ACCELIOS SOLAR GMBH,ACCELIOS SOLAR GMBH
404,ACCELLERAN,Accelerator
405,ACCELLTA LTD,ACCELLTA LTD
406,ACCELOPMENT SCHWEIZ AG,Accelopment Switzerland AG
407,Accelrys,Accelrys
408,ACCEMIC TECHNOLOGIES GMBH,Case CH to CH GMBH
409,ACCENT INKUBATOR GMBH,Accent inkub
410,ACCENT PRO 2000 s.r.l.,ACCENT PRO 2000 s.r.l.
411,ACCENTURE,ACCENTURE
412,ACCENTURE BV,ACCENTURE BV
413,ACCENTURE GLOBAL SOLUTIONS LIMITED,ACCENTURE GLOBAL SOLUTIONS LIMITED
414,ACCENTURE MONOPROSOPI ANONYMI ETAIREIA ORGANOSIS PLIROFORIKIS KAI ANAPTYKSIS EPIXEIRISEON,Across MONOPROSOPI Anonymous Company of Information Technology and Business Development
415,ACCENTURE SAS,Across your
416,ACCENTURE SPA,ACCENTURE SPA
417,ACCENTUS MEDICAL LIMITED,ACCENT MEDICAL LTD
418,Acceptables Avenirs,Acceptable Avenirs
419,ACCESS AGRICULTURE,ACCESS AGRICULTURE
420,ACCESS ASSOCIATES LIMITED,ACCESS ASSOCIATES LIMITED
421,ACCESS e.V.,ACESS E.V.
422,ACCESS EARTH LIMITED,ACCESS EARTH LIMITED
423,ACCESS FOR LIFE,ACCESS FOR LIFE
424,ACCIAI SPECIALI TERNI SPA,Special steels Terni Spa
425,ACCIONA AGUA SA,ACCIONA Agua SA.
426,ACCIONA CONSTRUCCION SA,ACCIONA CONSTRUCTION SA.
427,ACCIONA ENERGIA S.A.,Acciona Energia S.A.
428,ACCIONA INDUSTRIAL SA,ACCIONA INDUSTRIAL SA.
429,ACCLIMATISE GROUP LTD,ACCLIMATISE GROUP LTD
430,ACCORD HOUSING ASSOCIATION LIMITEDIPS,ACCORD HOUSING ASSOCIATION LIMITEDIPS
431,ACCREDITATION AND QUALITY ASSURANCE COMMISSION,ACCREDITATION AND QUALITY ASSURANCE COMMISSION
432,ACCUCOLOUR LIMITED,ACCUCOLOUR LIMITED
433,ACCUREC-RECYCLING GMBH,ACCUREC-RECYCLING GMBH
434,ACCUWATT,ACCUWATT
435,ACE APPLIED COGNITIVE ENGINEERING LTD,ACE APPLIED COGNITIVE ENGINEERING LTD
436,ACE PHARMACEUTICALS BV,ACE PHARMACEUTICALS BV
437,ACE Venture Lab,ACE Venture Lab
438,ACEA ATO2 SPA,That ato2 spa
439,ACEA ENERGIA SPA,That spa energy
440,ACEA PINEROLESE INDUSTRIALE SPA,ACEA Pinerolese Industriale SpA
441,ACEA SPA,That spa
442,ACEDAG SCIENTIFIC LIMITED,ACEDAG SCIENTIFIC LIMITED
443,ACEGASAPSAMGA S.P.A.,Acegasapsamga S.p.a.
444,ACEL SERVICE SRL,That service SRL
445,ACELLERA LABS SL,ACELLERA LABS SL
446,ACENTOLINE COMUNICACION EDITORA SL,Acentoline Communication Editora SL
447,ACER PARMA,Acer Parma
448,"ACERIA DE ALAVA, SA UNIPERSONAL","Acer Ia DEAL AVA, SA UniPersonal"
449,ACESION PHARMA APS,Acesion Pharma ApS
450,ACESSOMATIC COMERCIO COMPONENTES PNEUMATICOS HIDRAULICOS E ELECTRICOS LDA,AccessoMatic Course Hydraulic and Electric Pneumatic Components Lda
451,ACHMEA BV,Achmea BV
452,ACHTEN BVBA,Eight bvba
453,Achucarro Basque Center for Neurosc,Achucarro Basque Center for Neurosc
454,ACHUCARRO BASQUE CENTER FOR NEUROSCIENCE FUNDAZIOA,Achucarro Basque Center for Neuroscience Foundation
455,ACIB GMBH,Akib Gambh
456,ACIBADEM MEHMET ALI AYDINLAR UNIVERSITY,Acıbadem Mehmet ALI Aydins UNIVERSITY
457,ACIES BIO BIOTEHNOLOSKE RAZISKAVE IN RAZVOJ DOO,ACies Bio Biotechnology Research and Development Ltd.
458,ACIL AFET AMBULANS HEKIMLERI DERNEGI,AGILE Disaster Ambulance Physicians Association
459,ACIOA ASSOCIACION,Acioa Associacion
460,ACITURRI AEROENGINE SL,ACITURRI AEROENGINE SL
461,ACITURRI ASSEMBLY SA,Aciturri assembly in
462,ACITURRI ENGINEERING SL,ACITURRI ENGINEERING SL
463,ACITURRI METALLIC PARTS SL,ACITURRI METALLIC PARTS SL
464,ACKTAR LTD.,ACKTAR LTD.
465,ACLI RACALE SOCIETA AGRICOLA COOPERATIVA,ACLI RACALE AGRICULTURAL COMPANY COOPERATIVE
466,ACM ADVANCED CERAMICS MATERIALS GMBH,ACM ADVANCED CERAMICS MATERIALS GMBH
467,"ACM-AUTOMATISIERUNG, COMPUTERTECHNIK, MESS- UND REGELTECHNIK GMBH","ACM automation, computer technology, measuring and control technology GmbH"
468,ACMIT GMBH,Acmit GmbH
469,ACOBIOM,Acobiom
470,ACOEM FRANCE SAS,AKOEM Frank
471,ACOMEA SOCIETA DI GESTIONE DEL RISPARMIO S.P.A.,Accomea Savings Management Societa S.P.a.
472,ACONDAQUA INGENIERIA DEL AGUA SL,Associate Water Engineering SL
473,ACONDICIONAMIENTO TARRASENSE ASSOCIACION,Conditioning Tarrasense Association
474,ACONET  SRL,Aconet srl
475,ACONEX SERVICES LIMITED,ACONEX SERVICES LIMITED
476,ACORDE TECHNOLOGIES SA,Acorde Technologies in
477,ACORROS GMBH,Acorros GmbH
478,ACOSENSE AB,Acosense
479,ACOUCITE,Acid
480,ACOUSORT AB,Acousort off
481,ACP ADVANCED CIRCUIT PURSUIT AG,ACP ADVANCED CIRCUIT PURSUIT AG
482,ACPMR - ASSOCIACAO CLUSTER PORTUGAL MINERAL RESOURCES,ACPMR - Associacao Cluster Portugal Mineral Resources
483,ACQUA & SOLE SRL,Acqua & Sole srl
484,ACQUA AZZURRA SPA,Water Azzurra Spa
485,ACQUALATINA SPA,Acqualatina SpA
486,ACQUEDOTTO PUGLIESE SPA,Pugliese Spa aqueduct
487,ACQUIFER AG,Acquifer AG
488,ACQUIFER IMAGING GMBH,Acquifer Imaging GmbH
489,ACQUIRENTE UNICO SPA,Unico Spa Buyer
490,ACRATS Training Services,ACRATS Training Services
491,ACRI ST SAS,Edge in your
492,ACRI-HE,A cri-he
493,ACROFLIGHT LTD,ACROFLIGHT LTD
494,ACROMION GMBH,"Oh, C-ろ GmbH"
495,ACRONI PODJETJE ZA PROIZVODNJO JEKLA IN JEKLENIH IZDELKOV DOO,Acroni Company for the production of steel and steel products doo
496,ACROSSLIMITS LTD,ACROSSLIMITS LTD
497,ACS PLUS GMBH,ACS Plus GmbH
498,ACS-SOLUTIONS GMBH,"Oh, CS-ち S GmbH"
499,ACSA OBRAS E INFRAESTRUCTURAS SAU,ACSA Works and Sau infrastructures
500,ACST GMBH,ACST GmbH.
501,ACT OPERATIONS RESEARCH IT SRL,ACT OPERATIONS RESEARCH IT SRL
502,ACT OPERATIONS RESEARCH UK LTD,ACT OPERATIONS RESEARCH UK LTD
503,ACT SISTEMAS SL,ACT SISPEMAS SL
504,ACT&SORB,ACT&SORB
505,ACTA,MINUTES
506,ACTALIA ASSOCIATION,ACTALIA ASSOCIATION
507,ACTECO PRODUCTOS Y SERVICIOS SL,ACTECO Products and Services SL
508,ACTELION PHARMACEUTICALS LTD,ACTELION PHARMACEUTICALS LTD
509,ACTENO ENERGY GMBH,ACTENO ENERGY GMBH
510,ACTEON SARL,ACTEON SARL
511,ACTIA AUTOMOTIVE,ACTIA AUTOMOTIVE
512,ACTICOM GMBH,ACTICOM GMBH
513,ACTILITY SAS,Your unaccountable
514,ACTIMESURE,ACTIMESURE
515,ACTION AID INTERNATIONAL KENYA,ACTION AID INTERNATIONAL KENYA
516,ACTION CONTRE LA FAIM,ACTION AGAINST HUNGER
517,ACTION FOR RURAL WOMENS EMPOWERMENT,ACTION FOR RURAL WOMENS EMPOWERMENT
518,ACTION MENTAL HEALTH,ACTION MENTAL HEALTH
519,"ACTION MODULERS - CONSULTING & TECNOLOGY, LDA","ACTION MODULERS - CONSULTING & TECNOLOGY, LDA"
520,Action on Pre-Eclampsia,Action on Pre-Eclampsia
521,"ACTIONTRACKER SOLUTIONS, SOCIEDAD LIMITADA","ActionTracker Solutions, Sociedad Limitada"
522,ACTIVATEC LTD,ACTIVATEC LTD
523,ACTIVE AEROGELS LDA,ACTIVE AEROGELS LDA
524,ACTIVE CELLS SRL,ACTIVE CELLS SRL
525,ACTIVE CITIZEN EUROPE,ACTIVE CITIZEN EUROPE
526,ACTIVE FIBER SYSTEMS GMBH,ACTIVE FIBER SYSTEMS GMBH
527,ACTIVE IMPLANTS BV,ACTIVE IMPLANTS BV
528,active innovation management,active innovation management
529,"Active Space Technologies, Actividades Aeroespaciais S.A.","Active Space Technologies, Aerospace Activities S.A."
530,ACTIVE TECHNOLOGIES SRL,ACTIVE TECHNOLOGIES SRL
531,ACTIVEEON,ACTIVEEON
532,ACTIVEVIAM LTD,ACTIVEVIAM LTD
533,"ACTIVIDADES DE CONSULTORIA TECNICA, INVESTIGACION Y SERVICIOS AVANZADOS S.L.","Activities of technical consultancy, research and advanced services S.L."
534,ACTIVITY STREAM EHF,ACTIVITY STREAM EHF
535,ACTLIGHT SA,Actlight in
536,ACTRONIKA,ACTRONIKA
537,ACTUAL ANALYTICS LTD,ACTUAL ANALYTICS LTD
538,ACTYX AG,ACYX AG
539,ACUBENS,Acubens
540,ACUMEN DESIGN ASSOCIATES LIMITED,ACUMEN DESIGN ASSOCIATES LIMITED
541,ACUMENIST,ACUMENIST
542,AcureOmics AB,ACUREOMICS AB
543,ACUTRONIC LINK ROBOTICS AG,ACUTRONIC LINK ROBOTICS AG
544,ACV INTERNATIONAL,ACV INTERNATIONAL
545,ACZON SRL,Aczon srl
546,AD FERTILISER TECHNOLOGIES LTD,AD FERTILISER TECHNOLOGIES LTD
547,Ad Hoc 3D Solutions s.r.l.,Ad Hoc 3D Solutions s.r.l.
548,AD NORMANDIE,Ad normandy
549,AD PERSONAM AZIENDA DI SERVIZI ALLAPERSONA DEL COMUNE DI PARMA,AD PERSONAM SERVICES COMPANY ALPERSONA OF THE MUNICIPALITY OF PARMA
550,AD TELECOM SL,AD TELECOM SL
551,AD2 REALISATIONS LIMITED,AD2 REALISATIONS LIMITED
552,ADA HEALTH GMBH,There's a Health GmbH
553,ADAGOS,Adagos
554,ADAM OPEL AG,Adam Opel AG
555,ADAMA INNOVATIONS LIMITED,ADAMA INNOVATIONS LIMITED
556,ADAMANT AERODIASTIMIKES EFARMOGES ETAIREIA PERIORISMENIS EFTHYNIS,Adamad Aerospace Applications Company Limited Liability
557,Adamantio srl,Adamantio Srp
558,ADAMATIC OY,Adamatic Oy
559,ADAN MEDICAL INNOVATION SL,A Dan MediTical Innovation SL
560,ADANA METROPOLITAN MUNICIPALITY,ADANA METROPOLITAN MUNICIPALITY
561,ADANA TICARET ODASI,Adana TiCaret Room
562,ADANI,ADANI
563,ADANT SRL,Adant srl
564,ADAPPTISE LIMITED,ADAPPTISE LIMITED
565,ADAPT IT AE,ADAPT IT AE
566,ADAPTANT SOLUTIONS AG,ADAPTANT SOLUTIONS AG
567,ADAPTERA TECHNOLOGIKES LYSEIS VELTISTOPIISIS EFARMOGON YPODOMON PLIROFORIKES KAI TILEPIKINONION MONOPROSPI IKE,Adapher Technological Solutions Opt-up of Information Technology Infrastructure and Telecommunications Monoprodes IKE
568,ADAPTIVE BALANCING POWER GMBH,ADAPTIVE BALANCING POWER GMBH
569,ADAPTIVE PREDICTIVE EXPERT CONTROLADEX SA,ADAPTIVE PREDICTIVE EXPERT CONTROLADEX SA
570,ADAPTIVE SIMULATIONS SWEDEN AB,ADAPTIVE SIMULATIONS SWEDEN AB
571,ADAPTIVEBEE,ADAPTIVEBEE
572,ADAPTIX LTD,ADAPTIX LTD
573,ADAPTRONICA ZOO SP,Adaptronica zoo sp.
574,ADAPTVAC APS,Adaptvac ApS.
575,"ADASA SISTEMAS, S.A.U.","Adasa Systems, S.A.u."
576,ADASKY LTD,ADASKY LTD
577,ADATICA ENGINEERING SL,ADATICA ENGINEERING SL
578,ADAZU NOVADA DOME,Adazu county council
579,ADC INFRAESTRUCTURAS Y SISTEMAS SL,ADC Infrastructure and Systems SL
580,ADCIS,ACCIS
581,ADCMoura - Associação para o Desenvolvimento do Concelho de Moura,Adcmoura - Association for the Development of Moura
582,ADD INFORMATION SERVICES,ADD INFORMATION SERVICES
583,ADDACT GMBH,Addact GmbH
584,ADDAPTCREATIVE LDA,AddaptCreative Lda
585,ADDAX BIOSCIENCES SRL,ADDAX BIOSCIENCES SRL
586,ADDED SCIENTIFIC LIMITED,ADDED SCIENTIFIC LIMITED
587,ADDESTINO INNOVATION MANAGEMENT CVBA,Innovation Management CVBA Management
588,ADDIFAB APS,Addifab ApS.
589,ADDIONICS IL LTD,ADDIONICS THE LTD
590,ADDIPLAST SAS,Your drizzle
591,ADDIS ABABA SCIENCE AND TECHNOLOGY  UNIVERSITY,ADDIS ABABA SCIENCE AND TECHNOLOGY  UNIVERSITY
592,ADDIS ABABA UNIVERSITY,ADDIS ABABA UNIVERSITY
593,ADDITESS ADVANCED INTEGRATED TECHNOLOGY SOLUTIONS & SERVICES LTD,ADDITESS ADVANCED INTEGRATED TECHNOLOGY SOLUTIONS & SERVICES LTD
594,ADDITIVA SRL,Additive srl
595,ADDITIVE INDUSTRIES BV,ADDITIVE INDUSTRIES BV
596,ADDUP,Addup
597,ADDVOLT S.A.,ADDVOLT S.A.
598,ADECCO GROUP AG,ADECCO GROUP AG
599,ADEL SYSTEM SRL,ADEL SYSTEM SRL
600,ADELE ROBOTS SOCIEDAD LIMITADA,Adele Robots Sociedad Limitada
601,ADELPHI CONSULT GMBH,ADELPHI CONSULT GMBH
602,ADELPHI RESEARCH GEMEINNUTZIGE GMBH,Adelphi Research Neutensive GmbH
603,ADELPHI VALUES LTD,ADELPHI VALUES LTD
604,ADENE - AGENCIA PARA A ENERGIA,Adene - Agency for Energy
605,ADENORMA -  ASSOCIACAO DESENVOLVIMENTO COSTA NORTE DA MADEIRA,Adenorma - Association Development North Coast of Madeira
606,ADEPORTO - AGÊNCIA DE ENERGIA DO PORTO,Furniture - Port Energy Agency
607,ADERMA SRL,AdeMa srl
608,Adevice Solutions S.L.,Adevice Solutions S.L.
609,ADHD-Europe,ADHD-Europe
610,ADHEXPHARMA,ADHEXPHARMA
611,ADI,NAME
612,ADI & SALU SERSOC SL,Feet & row Sarsock Sla
613,ADIDAS AG,Adidaship
614,ADIENT INTERIORS D.O.O. KRAGUJEVAC,Indoor suitable D.O.O. Kragujevac
615,ADIGO AS,I still
616,ADIMANT APS,Adimant Aps.
617,ADIMEC ADVANCED IMAGE SYSTEMS BV,ADIMEC ADVANCED IMAGE SYSTEMS BV
618,ADIRA METAL FORMING SOLUTIONS SA,Adira Metal Forming Solutions to
619,Adiutide Pharmaceuticals GmbH,Adiutide Pharmaceuticals GmbH
620,ADIV ASSOCIATION,ADIV ASSOCIATION
621,ADIVO GMBH,Adivo GmbH
622,ADJUVATIS,ADJUVATIS
623,ADJUVIA AB,Hold AB
624,ADLEGO BIOMEDICAL AB,ADLEGO BIOMEDICAL AB
625,ADLER EVO SRL,Adler Evo Srl
626,ADLER ORTHO FRANCE,ADLER ORTHO FRANCE
627,ADLINK TECHNOLOGY INC,ADLINK TECHNOLOGY INC
628,ADLINK TECHNOLOGY SARL,ADLINK TECHNOLOGY SARL
629,"ADM WILD VALENCIA, SA","Adm Wild Valencia, SA"
630,ADMANTX SPA,ADMANTX SPA
631,ADMATEC EUROPE BV,ADMATEC EUROPE BV
632,"ADMATIS KUTATO, GYARTO ES KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG","Admatis kutato, gyarto es kereskedelmi korlatolt felelossegu tarsasag"
633,ADMES MONOPROSOPI IDIOTIKI KEFELAIOUCHIKI ETAIREIA,SHOM MONOPROSOPI Private Kereloian Company
634,Admescope Oy,ADMESCOPE OY
635,ADMIN LEUVEN bvba,Admin Leuven BVBA
636,ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS,Railway infrastructure manager
637,ADMINISTRATIA NATIONALA DE METEOROLOGIE R.A.,National Meteorological Administration R.A.
638,ADMINISTRATION COMMUNALE DE LA VILLE DE LAUSANNE,Municipal Administration of the City of Lausanne
639,ADMINISTRATION DE LEQUIPEMENT ET DES DEPLACEMENTS,Administration of equipailing and displacements
640,ADMINISTRATION DES PONTS ET CHAUSSEES DIRECTION,Administration des dots it chiefly direction
641,ADMINISTRATION OF THE STATE BORDER GUARD SERVICE OF UKRAINE,ADMINISTRATION OF THE STATE BORDER GUARD SERVICE OF UKRAINE
642,Admiral Makarov State University Maritime and Inland Shipping,Admiral Makarov State University Maritime and Inland Shipping
643,ADMIT THERAPEUTICS S.L.,ADMIT THERAPEUTICS S.L.
644,ADMOS GMBH ADVANCED MODELING SOLUTIONS,ADMOS GMBH ADVANCED MODELING SOLUTIONS
645,ADN CONTEXT -  AWARE MOBILE SOLUTIONS SL,ADN CONTEXT -  AWARE MOBILE SOLUTIONS SL
646,ADN-KRONOS SOCIETA PER AZIONI AGENZIA GIORNALISTICA DI INFORMAZZIONI,ADNKRONOS COMPANY FOR ACTION JOURNAL PHONE AGENCY
647,Adoc Talent Management,Adoc Talent Management
648,Adour Pyrénées Garonne Environnement Etudes et Conseil,Adour Pyrénées Garonne Environment Studies and Consulting
649,"ADP - AGUAS DE PORTUGAL, SGPS SA","ADP - a gu asted e portugal, s GPS SA"
650,ADPM DRONES SRL,ADPM DRONES SRL
651,ADR TECHNOLOGY BV,ADR TECHNOLOGY BV
652,ADRAL - AGENCIA DE DESENVOLVIMENTO REGIONAL DO ALENTEJO SA,Adral - Regional Development Agency of Alentejo SA
653,ADRIA KOMBI NACIONALNA DRUZBA ZA KOMBINIRAMI PROMET DOO LJUBLJANA,Adria Van National Company for Kombinirs Transport doo Ljubljana
654,"ADRIA MOBIL PROIZVODNJA, TRGOVINA IN STORITVE NOVO MESTO DOO","Adria Mobil Manufacture, Shop and Services Novo mesto doo"
655,"ADRIA WINCH D.O.O. ZA PROIZVODNJU,PROJEKTIRANJE, PROMET I USLUGE","Adria Winch D.O.O. For production, design, trade and services"
656,ADRIAFER SRL,ADRIAFER SRL
657,ADS ASSEMBLY DATA SYSTEM SPA,ADS ASSEMBLY DATA SYSTEM SPA
658,ADS GROUP LIMITED LBG,ADS GROUP LIMITED LBG
659,ADS PROPULSION BV,ADS PROPULSION BV
660,ADS-ELECTRONIC RESEARCH SRL,ADS-ELECTRONIC RESEARCH SRL
661,ADSERBALLE & KNUDSEN A/S,Adserballe & Knudsen A / S
662,ADSERVIO,ADSERVIO
663,ADSI-AUSTRIAN DRUG SCREENING INSTITUTE GMBH,ADSI-AUSTRIAN DRUG SCREENING INSTITUTE GMBH
664,ADSYSCO BV,Adsysco BV
665,ADT OMEGA CONSULTING ENGINEERS AE,ADT OMEGA CONSULTING ENGINEERS AE
666,ADURO BIOTECH EUROPE BV,ADURO BIOTECH EUROPE BV
667,ADVA OPTICAL NETWORKING ISRAEL LTD,ADVA OPTICAL NETWORKING ISRAEL LTD
668,ADVA OPTICAL NETWORKING LIMITED,ADVA OPTICAL NETWORKING LIMITED
669,ADVA OPTICAL NETWORKING SE,Two optics non-life
670,ADVACAM OY,Tell me
671,ADVACAM SRO,Advacam sro
672,ADVAMAT SRO,Advamat sro
673,ADVANCE CALL PTY LTD,ADVANCE CALL PTY LTD
674,ADVANCE HE,Advance HE
675,Advance Regulatory Consulting Limited,Advance Regulatory Consulting Limited
676,ADVANCE SCIENCE (FORBAIRT EOLAIOCHTA TEO) LIMITED,Advance Science (Scientific Development Ltd) Limited
677,ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES SL,ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES SL
678,Advanced Accelerator Applications,Advanced Accelerator Applications
679,ADVANCED AUTOMOTIVE ANTENNAS S.L,ADVANCED AUTOMOTIVE ANTENNAS S.L
680,ADVANCED BIODESIGN,ADVANCED BIODESIGN
681,ADVANCED BIOPROCESS DEVELOPMENT LIMITED,ADVANCED BIOPROCESS DEVELOPMENT LIMITED
682,Advanced Center for Water Resources Development & Management,Advanced Center for Water Resources Development & Management
683,ADVANCED CIRCUIT BOARDS NV,ADVANCED CIRCUIT BOARDS NV
684,ADVANCED COATINGS & CONSTRUCTION SOLUTIONS,ADVANCED COATINGS & CONSTRUCTION SOLUTIONS
685,ADVANCED COMPUTER SYSTEMS A.C.S. SPA,ADVANCED COMPUTER SYSTEMS A.C.S. SPA
686,Advanced data processing GmbH,Advanced data processing GmbH
687,ADVANCED DESIGN TECHNOLOGY LIMITED,ADVANCED DESIGN TECHNOLOGY LIMITED
688,ADVANCED DIGITAL INNOVATION UK LTD,ADVANCED DIGITAL INNOVATION UK LTD
689,ADVANCED DISPERSED PARTICLES SL,ADVANCED DISPERSED PARTICLES SL
690,ADVANCED ELECTRIC MACHINES LTD,ADVANCED ELECTRIC MACHINES LTD
691,ADVANCED ELECTROMAGNETICS BV,ADVANCED ELECTROMAGNETICS BV
692,ADVANCED ENERGY TECHNOLOGIES AE EREUNAS & ANAPTYXIS YLIKON & PROIONTONANANEOSIMON PIGON ENERGEIAS & SYNAFON SYMVOULEFTIKON Y PIRESION,Affiliate Active Technologies SA Research & Development of Material & ProductsProductsAccountable Energy Sources & Related Consultants
693,ADVANCED HALL SENSORS LTD,ADVANCED HALL SENSORS LTD
694,ADVANCED INNOVATIVE ENGINEERING (UK) LIMITED,ADVANCED INNOVATIVE ENGINEERING (UK) LIMITED
695,ADVANCED ISOTOPIC ANALYSIS,ADVANCED ISOTOPIC ANALYSIS
696,ADVANCED LABORATORY ON EMBEDDED SYSTEMS SRL,ADVANCED LABORATORY ON EMBEDDED SYSTEMS SRL
697,ADVANCED LOGISTICS GROUP SAU,ADVANCED LOGISTICS GROUP SAU
698,ADVANCED MACHINERY & TECHNOLOGY CHEMNITZ GMBH,ADVANCED MACHINERY & TECHNOLOGY CHEMNITZ GMBH
699,ADVANCED MANUFACTURING (SHEFFIELD)LIMITED,ADVANCED MANUFACTURING (SHEFFIELD)LIMITED
700,ADVANCED MARKER DISCOVERY SL,ADVANCED MARKER DISCOVERY SL
701,ADVANCED MASK TECHNOLOGY CENTER GMBH & CO KG,ADVANCED MASK TECHNOLOGY CENTER GMBH & CO KG
702,ADVANCED MATERIAL SIMULATION SL,ADVANCED MATERIAL SIMULATION SL
703,ADVANCED MECHANICAL AND OPTICAL SYSTEMS SA,ADVANCED MECHANICAL AND OPTICAL SYSTEMS SA
704,ADVANCED MECHANICAL SYSTEMS LTD,ADVANCED MECHANICAL SYSTEMS LTD
705,ADVANCED MEDICAL PROJECTS SOCIEDAD LIMITADA,Advanced Medical Projects Sociedad Limitada
706,ADVANCED MICROFLUIDICS SA,Advanced Microfluidics in
707,ADVANCED MICROTURBINES SRL,ADVANCED MICROTURBINES SRL
708,ADVANCED MINERALS AND RECYCLING INDUSTRIAL SOLUTIONS IKE,ADVANCED MINERALS AND RECYCLING INDUSTRIAL SOLUTIONS IKE
709,ADVANCED MUSIC SL,ADVANCED MUSIC SL
710,ADVANCED NANOTECHNOLOGIES SL,Advanceced Nanoteanology SL
711,ADVANCED PACKAGING CENTER  BV,ADVANCED PACKAGING CENTER  BV
712,ADVANCED PRACTICAL DIAGNOSTICS,ADVANCED PRACTICAL DIAGNOSTICS
713,Advanced Radiation Technology Cen.,Advanced Radiation Technology Cen.
714,ADVANCED RESEARCH CRYPTOGRAPHY LIMITED,ADVANCED RESEARCH CRYPTOGRAPHY LIMITED
715,ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE,ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE
716,ADVANCED SPACE POWER EQUIPMENT GMBH,ADVANCED SPACE POWER EQUIPMENT GMBH
717,ADVANCED SPORTS INSTALLATIONS EUROPE AS,ADVANCED SPORTS INSTALLATIONS EUROPE AS
718,ADVANCED SUBSTRATE TECHNOLOGIES AS,ADVANCED SUBSTRATE TECHNOLOGIES AS
719,ADVANCED TECHNOLOGY PARTNERS SRL,ADVANCED TECHNOLOGY PARTNERS SRL
720,ADVANCED TECHNOLOGY SOLUTIONS SRL,ADVANCED TECHNOLOGY SOLUTIONS SRL
721,ADVANCED TECHNOLOGY SYSTEMS SRL,ADVANCED TECHNOLOGY SYSTEMS SRL
722,ADVANCED THERAPEUTIC MATERIALS LTD,ADVANCED THERAPEUTIC MATERIALS LTD
